LocationName,LocationCode,Field001
Afghanistan,AFG,20889000000
Albania,ALB,13181000000
Algeria,DZA,178287000000
Angola,AGO,124209000000
Antigua and Barbuda,ATG,1524000000
Argentina,ARG,637717000000
Armenia,ARM,11548000000
Australia,AUS,1379548000000
Austria,AUT,416845000000
Azerbaijan,AZE,40670000000
Bahamas,BHS,11639000000
Bahrain,BHR,34895000000
Bangladesh,BGD,261374000000
Barbados,BRB,5018000000
Belarus,BLR,54436000000
Belgium,BEL,494733000000
Belize,BLZ,1854000000
Benin,BEN,9238000000
Bhutan,BTN,2334000000
Bolivia,BOL,37122000000
Bosnia and Herzegovina,BIH,18058000000
Botswana,BWA,17168000000
Brazil,BRA,2054969000000
Brunei,BRN,12743000000
Bulgaria,BGR,56943000000
Burkina Faso,BFA,12569000000
Burundi,BDI,3396000000
Cambodia,KHM,22252000000
Cameroon,CMR,34006000000
Canada,CAN,1652412000000
Cape Verde,CPV,1741000000
Central African Republic,CAF,1928000000
Chad,TCD,9872000000
Chile,CHL,277042000000
China,CHN,12014610000000
Colombia,COL,309197000000
Comoros,COM,652000000
Congo (DRC),COD,41441000000
Costa Rica,CRI,58056000000
Cote D'Ivoire (Ivory Coast),CIV,40360000000
Croatia,HRV,54516000000
Cyprus,CYP,21310000000
Czech Republic,CZE,213189000000
Denmark,DNK,324484000000
Djibouti,DJI,2029000000
Dominica,DMA,560000000
Dominican Republic,DOM,75018000000
East Timor,TLS,2610000000
Ecuador,ECU,102311000000
Egypt,EGY,237073000000
El Salvador,SLV,28023000000
Equatorial Guinea,GNQ,10725000000
Eritrea,ERI,5813000000
Estonia,EST,25973000000
Ethiopia,ETH,80874000000
Fiji,FJI,5079000000
Finland,FIN,253244000000
France,FRA,2583560000000
Gabon,GAB,15206000000
Gambia,GMB,1009000000
Georgia,GEO,15139000000
Germany,DEU,3684816000000
Ghana,GHA,47032000000
Greece,GRC,200690000000
Grenada,GRD,1115000000
Guatemala,GTM,75661000000
Guinea,GIN,9721000000
Guinea-Bissau,GNB,1350000000
Guyana,GUY,3628000000
Haiti,HTI,8608000000
Honduras,HND,22975000000
Hong Kong,HKG,341659000000
Hungary,HUN,152284000000
Iceland,ISL,23909000000
India,IND,2611012000000
Indonesia,IDN,1015411000000
Iran,IRN,431920000000
Iraq,IRQ,197699000000
Ireland,IRL,333994000000
Israel,ISR,350609000000
Italy,ITA,1937894000000
Jamaica,JAM,14359000000
Japan,JPN,4872135000000
Jordan,JOR,40487000000
Kazakhstan,KAZ,160839000000
Kenya,KEN,79511000000
Kiribati,KIR,197000000
Korea (South),KOR,1538030000000
Kuwait,KWT,120351000000
Kyrgyzstan,KGZ,7163000000
Laos,LAO,16984000000
Latvia,LVA,30319000000
Lebanon,LBN,51457000000
Lesotho,LSO,2768000000
Liberia,LBR,3285000000
Libya,LBY,31331000000
Lithuania,LTU,47263000000
Luxembourg,LUX,62393000000
Macau,MAC,49802000000
Macedonia,MKD,11366000000
Madagascar,MDG,11463000000
Malawi,MWI,6206000000
Malaysia,MYS,314497000000
Maldives,MDV,4505000000
Mali,MLI,15318000000
Malta,MLT,12543000000
Marshall Islands,MHL,199000000
Mauritania,MRT,5116000000
Mauritius,MUS,12428000000
Mexico,MEX,1149236000000
Micronesia,FSM,327000000
Moldova,MDA,8085000000
Mongolia,MNG,11135000000
Montenegro,MNE,4764000000
Morocco,MAR,109824000000
Mozambique,MOZ,12681000000
Myanmar,MMR,66537000000
Namibia,NAM,12687000000
Nauru,NRU,114000000
Nepal,NPL,24472000000
Netherlands,NLD,825745000000
New Zealand,NZL,201485000000
Nicaragua,NIC,13727000000
Niger,NER,8253000000
Nigeria,NGA,376284000000
Norway,NOR,396457000000
Oman,OMN,74274000000
Pakistan,PAK,303993000000
Palau,PLW,312000000
Panama,PAN,61838000000
Papua New Guinea,PNG,23617000000
Paraguay,PRY,29619000000
Peru,PER,215224000000
Philippines,PHL,313419000000
Poland,POL,524886000000
Portugal,PRT,218064000000
Puerto Rico,PRI,98805000000
Qatar,QAT,166326000000
Republic of Congo,COG,8513000000
Romania,ROU,211315000000
Russia,RUS,1527469000000
Rwanda,RWA,9137000000
Saint Kitts and Nevis,KNA,928000000
Saint Lucia,LCA,1686000000
Saint Vincent and the Grenadines,VCT,801000000
Samoa,WSM,840000000
San Marino,SMR,1636000000
Sao Tome and Principe,STP,379000000
Saudi Arabia,SAU,683827000000
Senegal,SEN,16463000000
Serbia,SRB,41471000000
Seychelles,SYC,1482000000
Sierra Leone,SLE,3641000000
Singapore,SGP,323902000000
Slovak Republic,SVK,95938000000
Slovenia,SVN,48868000000
Solomon Islands,SLB,1277000000
Somalia,SOM,7382000000
South Africa,ZAF,349299000000
South Sudan,SSD,2870000000
Spain,ESP,1313951000000
Sri Lanka,LKA,87591000000
Sudan,SDN,58239000000
Suriname,SUR,3347000000
Swaziland,SWZ,4491000000
Sweden,SWE,538575000000
Switzerland,CHE,678575000000
Syria,SYR,60043000000
Taiwan,TWN,579302000000
Tajikistan,TJK,7279000000
Tanzania,TZA,51725000000
Thailand,THA,455378000000
Togo,TGO,4767000000
Tonga,TON,437000000
Trinidad and Tobago,TTO,21624000000
Tunisia,TUN,40275000000
Turkey,TUR,849480000000
Turkmenistan,TKM,37926000000
Tuvalu,TUV,40000000
Uganda,UGA,26349000000
Ukraine,UKR,109321000000
United Arab Emirates,ARE,377435000000
United Kingdom,GBR,2624529000000
United States,USA,19390600000000
Uruguay,URY,58415000000
Uzbekistan,UZB,47883000000
Vanuatu,VUT,870000000
Venezuela,VEN,210085000000
Vietnam,VNM,220408000000
Yemen,YEM,16511000000
Zambia,ZMB,25504000000
Zimbabwe,ZWE,17491000000

